run_seed,model,split,case_type,n_sequences,n_metric_steps,n_events,n_nonevents,n_drift_steps,n_revision_steps,mse,mse__n,mae,mae__n,final_mse,final_mse__n,final_mae,final_mae__n,event_mse,event_mse__n,event_mae,event_mae__n,nonevent_mse,nonevent_mse__n,nonevent_mae,nonevent_mae__n,drift_nonevent,drift_nonevent__n,drift_post_best,drift_post_best__n,revision_gain,revision_gain__n,event_abs_err_lag_m2,event_abs_err_lag_m2__n,best_abs_err_lag_m2,best_abs_err_lag_m2__n,event_abs_err_lag_m1,event_abs_err_lag_m1__n,best_abs_err_lag_m1,best_abs_err_lag_m1__n,event_abs_err_lag_0,event_abs_err_lag_0__n,best_abs_err_lag_0,best_abs_err_lag_0__n,event_abs_err_lag_1,event_abs_err_lag_1__n,best_abs_err_lag_1,best_abs_err_lag_1__n,event_abs_err_lag_2,event_abs_err_lag_2__n,best_abs_err_lag_2,best_abs_err_lag_2__n,event_abs_err_lag_3,event_abs_err_lag_3__n,best_abs_err_lag_3,best_abs_err_lag_3__n,event_abs_err_lag_4,event_abs_err_lag_4__n,best_abs_err_lag_4,best_abs_err_lag_4__n,event_abs_err_lag_6,event_abs_err_lag_6__n,best_abs_err_lag_6,best_abs_err_lag_6__n,event_abs_err_lag_8,event_abs_err_lag_8__n,best_abs_err_lag_8,best_abs_err_lag_8__n,event_abs_err_lag_12,event_abs_err_lag_12__n,best_abs_err_lag_12,best_abs_err_lag_12__n,event_abs_err_lag_16,event_abs_err_lag_16__n,best_abs_err_lag_16,best_abs_err_lag_16__n,alpha_event,alpha_event__n,alpha_nonevent,alpha_nonevent__n,alpha_contrast,alpha_contrast__n,event_alpha_lag_m2,event_alpha_lag_m2__n,best_alpha_lag_m2,best_alpha_lag_m2__n,event_alpha_lag_m1,event_alpha_lag_m1__n,best_alpha_lag_m1,best_alpha_lag_m1__n,event_alpha_lag_0,event_alpha_lag_0__n,best_alpha_lag_0,best_alpha_lag_0__n,event_alpha_lag_1,event_alpha_lag_1__n,best_alpha_lag_1,best_alpha_lag_1__n,event_alpha_lag_2,event_alpha_lag_2__n,best_alpha_lag_2,best_alpha_lag_2__n,event_alpha_lag_3,event_alpha_lag_3__n,best_alpha_lag_3,best_alpha_lag_3__n,event_alpha_lag_4,event_alpha_lag_4__n,best_alpha_lag_4,best_alpha_lag_4__n,event_alpha_lag_6,event_alpha_lag_6__n,best_alpha_lag_6,best_alpha_lag_6__n,event_alpha_lag_8,event_alpha_lag_8__n,best_alpha_lag_8,best_alpha_lag_8__n,event_alpha_lag_12,event_alpha_lag_12__n,best_alpha_lag_12,best_alpha_lag_12__n,event_alpha_lag_16,event_alpha_lag_16__n,best_alpha_lag_16,best_alpha_lag_16__n
0,qlstm,test,all,8,48,11,37,33,7,0.5395785080966343,8,0.6489866774451608,8,0.5801636025197396,8,0.6854947645915672,8,0.4904728521669579,6,0.6343441713446131,6,0.5341315296106226,8,0.6437909344618675,8,0.0354692688522239,8,0.0409935401752591,8,-0.01596267024676,4,0.3978272539873917,3,0.3006314225494861,3,0.4903679421792427,4,0.5403128797188401,4,0.6343441713446131,6,0.6521388725377619,6,0.5993161381015347,6,0.6577177257277071,6,0.5352961640908487,6,0.6790034212172031,4,0.5898099832236767,5,0.7361003408829371,3,0.7153336971998214,5,0.7100674907366434,3,,0,,0,,0,,0,,0,,0,,0,,0,0.5566112341152297,6,0.5390920256574949,8,0.0132783581813176,6,0.5490305721759796,3,0.5339722235997518,3,0.5645437861482302,4,0.5618979036808014,4,0.5566112341152297,6,0.5544626464446386,6,0.5370829527576765,6,0.5373609066009521,6,0.5142910298373964,6,0.519253671169281,4,0.542764174938202,5,0.5350378453731537,3,0.5396915674209595,5,0.5252681175867716,3,,0,,0,,0,,0,,0,,0,,0,,0
0,qlstm,test,iid,2,12,5,7,6,4,0.3513161850545945,2,0.575376375267903,2,0.367471630019983,2,0.6017330810427666,2,0.2515694556523907,2,0.4936750307679176,2,0.4363714587087317,2,0.6448947793493669,2,0.0499562285840511,2,0.0499562285840511,2,0.003357912103335,2,0.6400736942887306,1,0.3528391271829605,1,0.5552280967434247,2,0.4966872036457062,2,0.4936750307679176,2,0.5227170065045357,2,0.5529043798645338,2,0.5810727402567863,2,0.5641949710746607,2,0.5713930875062943,2,0.5578771568834782,2,0.6054866313934326,1,0.5843191370368004,2,0.6751424074172974,1,,0,,0,,0,,0,,0,,0,,0,,0,0.5613247652848561,2,0.5675010507305462,2,-0.0061762854456901,2,0.561561107635498,1,0.542724609375,1,0.5576477249463399,2,0.5448490977287292,2,0.5613247652848561,2,0.5723070204257965,2,0.5691645443439484,2,0.5793579518795013,2,0.5439302374919255,2,0.5208205580711365,2,0.5543843656778336,2,0.5788741111755371,1,0.5648338794708252,2,0.6093953847885132,1,,0,,0,,0,,0,,0,,0,,0,,0
0,qlstm,test,late,2,12,4,8,7,3,0.2835075000089148,2,0.4478645292110741,2,0.478200045533299,2,0.6031043189577758,2,0.4939761391283794,2,0.624946455238387,2,0.1782731804491824,2,0.3593235661974177,2,0.0240871788312991,2,0.0461842641234397,2,-0.0352832525968551,2,0.2767040338367224,2,0.274527570232749,2,0.4255077876150608,2,0.5839385557919741,2,0.624946455238387,2,0.6492885830812156,2,0.4560679164715111,2,0.6031043189577758,2,0.2550797662697732,2,,0,0.2304812110960483,1,,0,0.9529701471328736,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.566668801009655,2,0.5415705740451813,2,0.0250982269644737,2,0.5427653044462204,2,0.5295960307121277,2,0.5714398473501205,2,0.5789467096328735,2,0.566668801009655,2,0.5492407828569412,2,0.5101581588387489,2,0.5007986128330231,2,0.4812560677528381,2,,0,0.5788127183914185,1,,0,0.6023811101913452,1,,0,,0,,0,,0,,0,,0,,0,,0,,0
0,qlstm,test,early,2,12,0,12,10,0,0.8056617257951822,2,0.7970968422790368,2,0.764573650577824,2,0.7724260091781616,2,,0,,0,0.8056617257951822,2,0.7970968422790368,2,0.0354597553610801,2,0.0354597553610801,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.5263694748282433,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
0,qlstm,test,near_best,2,12,2,10,10,0,0.7178286215278455,2,0.7756089630226295,2,0.7104090839478526,2,0.7647156491875648,2,0.7258729617201038,2,0.7844110280275345,2,0.7162197534893938,2,0.7738485500216484,2,0.0323739126324653,2,0.0323739126324653,2,,0,,0,,0,,0,,0,0.7844110280275345,2,0.7844110280275345,2,0.7889761179685593,2,0.7889761179685593,2,0.786613754928112,2,0.786613754928112,2,0.8014071956276894,2,0.8014071956276894,2,0.7275300323963165,2,0.7275300323963165,2,,0,,0,,0,,0,,0,,0,,0,,0,0.541840136051178,2,0.5209270030260086,2,0.0209131330251693,2,,0,,0,,0,,0,0.541840136051178,2,0.541840136051178,2,0.531926155090332,2,0.531926155090332,2,0.5176867842674255,2,0.5176867842674255,2,0.513119712471962,2,0.513119712471962,2,0.4832044839859009,2,0.4832044839859009,2,,0,,0,,0,,0,,0,,0,,0,,0
0,qslstm,test,all,8,48,11,37,33,7,0.5322190315529688,8,0.6544097126073514,8,0.575520409256784,8,0.6925543349934742,8,0.4974960150109166,6,0.6387794609957685,6,0.5245087988349812,8,0.6491048324950195,8,0.0194289859694739,8,0.0215274416841566,8,-0.0114900867144266,4,0.4159992175797621,3,0.3160881089667479,3,0.5026940746853749,4,0.5530135417357087,4,0.6387794609957685,6,0.6533718020655215,6,0.5946764885447919,6,0.6550969268816212,6,0.5340828345571128,6,0.6650114208459854,4,0.580467515438795,5,0.7224398156007131,3,0.7191750854253769,5,0.720891093214353,3,,0,,0,,0,,0,,0,,0,,0,,0,0.283041943071617,6,0.2378351820710425,8,0.019362493780338,6,0.2487842986981074,3,0.2145310193300247,3,0.3073924829562505,4,0.3075611069798469,4,0.283041943071617,6,0.2810502611100673,6,0.2599817072558734,6,0.266120162482063,6,0.2129764358202616,6,0.2339881910011172,4,0.283202140033245,5,0.265844777226448,3,0.2756351932883262,5,0.2692883685231209,3,,0,,0,,0,,0,,0,,0,,0,,0
0,qslstm,test,iid,2,12,5,7,6,4,0.3547466482074479,2,0.5786562003195286,2,0.3550523942768208,2,0.588689886033535,2,0.2612089774394343,2,0.502644632011652,2,0.4353617066438251,2,0.644048926110069,2,0.0289417747408151,2,0.0289417747408151,2,0.0047910610834757,2,0.639626756310463,1,0.354158341884613,1,0.5639531736572583,2,0.5060388371348381,2,0.502644632011652,2,0.5326569750905037,2,0.5536684431135654,2,0.5762961879372597,2,0.5611656916638216,2,0.5642620772123337,2,0.5630907155573368,2,0.6252457797527313,1,0.574784591794014,2,0.6808669567108154,1,,0,,0,,0,,0,,0,,0,,0,,0,0.303213062385718,2,0.302124660462141,2,0.0010884019235769,2,0.3023873716592788,1,0.2644432783126831,1,0.2679938624302546,2,0.2283005118370056,2,0.303213062385718,2,0.3534501641988754,2,0.3376674751440683,2,0.3581343442201614,2,0.2568138018250465,2,0.184009276330471,2,0.2572489865124225,2,0.2743919491767883,1,0.2623364627361297,2,0.4158264100551605,1,,0,,0,,0,,0,,0,,0,,0,,0
0,qslstm,test,late,2,12,4,8,7,3,0.2993283020515048,2,0.4653829514669875,2,0.4911653250023767,2,0.6182562368921936,2,0.5110464236091536,2,0.6323402996640652,2,0.1934692412726805,2,0.3819042773684487,2,0.0194549200435479,2,0.0278487429022789,2,-0.0277712345123291,2,0.3041854482144117,2,0.2970529925078153,2,0.4414349757134914,2,0.5999882463365793,2,0.6323402996640652,2,0.6461049797944725,2,0.4596226667053997,2,0.6182562368921936,2,0.2753220475278795,2,,0,0.2340824790298938,1,,0,0.9644999206066132,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.3352428767830133,2,0.2302924212999642,2,0.1049504554830491,2,0.2219827622175216,2,0.1895748898386955,2,0.3467911034822464,2,0.3868217021226883,2,0.3352428767830133,2,0.279030729085207,2,0.1651936052367091,2,0.1631421018391847,2,0.0981483999639749,2,,0,0.3783703446388244,1,,0,0.4614643454551697,1,,0,,0,,0,,0,,0,,0,,0,,0,,0
0,qslstm,test,early,2,12,0,12,10,0,0.7825531746162769,2,0.8079141080379486,2,0.7686601318186546,2,0.7989502400159836,2,,0,,0,0.7825531746162769,2,0.8079141080379486,2,0.0134318992495536,2,0.0134318992495536,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.1603023804103334,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
0,qslstm,test,near_best,2,12,2,10,10,0,0.6922480013366455,2,0.765685590604941,2,0.6872037859292838,2,0.7643209770321846,2,0.7202326439841619,2,0.7813534513115883,2,0.6866510728071423,2,0.7625520184636116,2,0.0158873498439788,2,0.0158873498439788,2,,0,,0,,0,,0,,0,0.7813534513115883,2,0.7813534513115883,2,0.7707383558154106,2,0.7707383558154106,2,0.7657607644796371,2,0.7657607644796371,2,0.771036833524704,2,0.771036833524704,2,0.7409031614661217,2,0.7409031614661217,2,,0,,0,,0,,0,,0,,0,,0,,0,0.2106698900461197,2,0.2586212661117315,2,-0.0479513760656118,2,,0,,0,,0,,0,0.2106698900461197,2,0.2106698900461197,2,0.2770840413868427,2,0.2770840413868427,2,0.2839671056717634,2,0.2839671056717634,2,0.2615711912512779,2,0.2615711912512779,2,0.196019347757101,2,0.196019347757101,2,,0,,0,,0,,0,,0,,0,,0,,0
